시도명,시군구명,관리기관,회사명,공장구분,단지명,설립구분,입주형태,보유구분,최초승인일,최초등록일,등록구분,등록일,전화번호,남자종업원,여자종업원,외국인남자종업원,외국인여자종업원,종업원합계,생산품,원자재,공장규모,용도지역,지목,용지면적,제조시설면적,부대시설면적,건축면적,지식산업센터명,대표업종,업종명,업종코드,차수,법인주소,필지수,공장주소,공장주소_지번,공장관리번호
대전광역시,동구,대전광역시 동구,가나롤스크린,개별입지, ,일반,일반건축물,임대, ,20091016,신규등록,20091016,042-222-2353,2,1,0,0,3,"롤스크린, 바티칼","섬유, 알미늄",소기업,도시지역 / 주거지역 / 제1종일반주거지역,대,198.34,148.75,49.58,198.33, ,13223,커튼 및 유사제품 제조업,13223,10, ,1,"대전광역시 동구 중앙로200번길 99, 메가프라자 3층29호 (원동)",대전광역시 동구 원동 42-1번지 메가프라자 3층29호,301102009193298
대전광역시,동구,대전광역시 동구,금화건설(주),개별입지, ,일반, ,임대, ,20190704,신규등록,20190704,042-253-1211,1,0,0,0,1,블라인드 등,"베이스,원단",소기업,도시지역 / 상업지역 / 일반상업지역,대,75.35,20.35,55,75.35, ,33999,그 외 기타 달리 분류되지 않은 제품 제조업,33999,10, ,1,"대전광역시 동구 대전천동로 504, 1층 (원동)",대전광역시 동구 원동 85-47번지 1층,301102019443575
대전광역시,동구,대전광역시 동구,대일기공주식회사,개별입지, ,일반,일반건축물,임대, ,19911223,등록변경,20211102,042-273-1536,6,0,0,0,6,실험기,"주물,철판",소기업,도시지역 / 상업지역 / 일반상업지역,대,187.4,165,15,180, ,27213,"물질 검사, 측정 및 분석기구 제조업 외 5 종","27213, 29261, 29280, 29291, 29293, 29299",10, ,1,대전광역시 동구 창조2길 28 (원동),대전광역시 동구 원동 101-2번지,360819164791200
대전광역시,동구,대전광역시 동구,동남커텐,개별입지, ,일반,일반건축물,임대, ,20090818,등록변경,20090818,042-221-3679,2,2,0,0,4,커텐류,원단,소기업,도시지역 / 상업지역 / 근린상업지역,대,175.14,21.25,112.2,133.45, ,13223,커튼 및 유사제품 제조업,13223,10, ,1,대전광역시 동구 중교로 130-14 (원동),대전광역시 동구 원동 46-12번지,301102009189653
대전광역시,동구,대전광역시 동구,서로 유한책임회사,개별입지, ,일반, ,임대, ,20190624,신규등록,20190624,042-551-0055,1,0,0,0,1,사무용 봉제가구, ,소기업,도시지역 / 상업지역 / 일반상업지역,대,16.5,16.5,0,16.5, ,32029,기타 목재가구 제조업 외 2 종,"32019, 32021, 32029",10, ,1,"대전광역시 동구 중앙로200번길 99, 2층 5호 (원동)",대전광역시 동구 원동 42-1번지 2층 5호,301102019442312
대전광역시,동구,대전광역시 동구,셀나노텍,개별입지, ,일반, ,임대, ,20120713,신규등록,20120713,042-242-0188,3,1,0,0,4,LED조명기기,"LEDCHIP, 알루미늄베이스등",소기업,도시지역 / 상업지역 / 일반상업지역,대,46.28,26.4,0,26.4, ,28410,전구 및 램프 제조업 외 1 종,"28410, 28422",10, ,1,"대전광역시 동구 대전로 764, 21-12 2층 (원동)",대전광역시 동구 원동 21-12번지 제일양복점 21-12 2층,301102012261488
대전광역시,동구,대전광역시 동구,알프스상사,개별입지, ,일반, ,임대, ,20120625,등록변경,20130219,043-854-5395,2,0,0,0,2,"등짐펌프, 소방기기",비철금속,소기업,도시지역 / 상업지역 / 일반상업지역,공장용지,120,70,50,120, ,29193,분사기 및 소화기 제조업 외 2 종,"29193, 29194, 29210",10, ,1,"대전광역시 동구 창조1길 48, 31-1 (원동)",대전광역시 동구 원동 31-1번지 공장 31-1,301102012260042
대전광역시,동구,대전광역시 동구,주식회사 선광패브릭,개별입지, ,일반, ,임대, ,20120831,등록변경,20190722,042-222-2148,1,2,0,0,3,"이불, 베개, 침장류","원단, 면평직물",소기업,도시지역 / 주거지역 / 제2종일반주거지역,대,243.6,123,120.6,243.6, ,13221,침구 및 관련제품 제조업 외 1 종,"13221, 13223",10, ,1,"대전광역시 동구 대흥로 197-7, 85-43 (원동)",대전광역시 동구 원동 85-43번지,301102012264586
대전광역시,동구,대전광역시 동구,주안씨에스,개별입지, ,일반, ,임대, ,20121207,등록변경,20160406,070-4412-9584,1,2,0,0,3,"커튼 , 롤스크린, 홈패션","원단, 레일, 봉",소기업,도시지역 / 상업지역 / 일반상업지역,대,81,81,0,81, ,13223,커튼 및 유사제품 제조업 외 4 종,"13221, 13223, 14199, 25932, 27302",10, ,1,"대전광역시 동구 중앙로200번길 99, 3층 303호 (원동)",대전광역시 동구 원동 42-1번지,301102012270637
대전광역시,동구,대전광역시 동구,(주) 제너럴나인,개별입지, ,일반,일반건축물,임대, ,20150824,등록변경,20170922,070-8869-2888,2,3,0,0,5,"이불커버,커튼,텐트,체육복,작업복,내의,티셔츠,손수건,배낭류,정복,군복,모자,장갑",원단,소기업,도시지역 / 상업지역 / 일반상업지역,대,70.4,70.4,0,70.4, ,13221,침구 및 관련제품 제조업 외 13 종,"13221, 13223, 13224, 13229, 14111, 14112, 14120, 14191, 14192, 14300, 14419, 14491, 14499, 15129",10, ,1,"대전광역시 동구 대흥로 204, 2층 203호 (인동)",대전광역시 동구 인동 11-1번지 2층 203호,301102015338694
