시도명,시군구명,관리기관,회사명,공장구분,단지명,설립구분,입주형태,보유구분,최초승인일,최초등록일,등록구분,등록일,전화번호,남자종업원,여자종업원,외국인남자종업원,외국인여자종업원,종업원합계,생산품,원자재,공장규모,용도지역,지목,용지면적,제조시설면적,부대시설면적,건축면적,지식산업센터명,대표업종,업종명,업종코드,차수,법인주소,필지수,공장주소,공장주소_지번,공장관리번호
강원특별자치도,춘천시,강원특별자치도 춘천시,(주)티이오커뮤니케이션,개별입지, ,일반,일반건축물,임대, ,20170608,신규등록,20170608,033-241-5991,2,2,0,0,4,조형물, ,소기업,도시지역 / 주거지역 / 제1종일반주거지역,대,0,162.95,0,162.95, ,25999,그 외 기타 분류 안된 금속 가공 제품 제조업 외 2 종,"25995, 25999, 33910",10, ,0,"강원특별자치도 춘천시 서부대성로47번길 10, 4층 (요선동)",강원특별자치도 춘천시 요선동 2-8번지 4층,421102017385520
강원특별자치도,춘천시,강원특별자치도 춘천시,강원출판사,개별입지, ,일반,해당없음,자가, ,19720830,등록변경,20090102,033-254-2321,6,3,0,0,9,"인쇄, 출판",종이,소기업,도시지역 / 상업지역 / 일반상업지역,대,246,430,20,450, ,58190,기타 인쇄물 출판업,58190,10, ,1,"강원특별자치도 춘천시 서부대성로48번길 16 (요선동, 강원출판사)",강원특별자치도 춘천시 요선동 14-2번지,411031126111900
강원특별자치도,춘천시,강원특별자치도 춘천시,(주)엘에스엘 시스템즈,개별입지, ,일반,공장임대,임대, ,20100219,등록변경,20100308,070-7583-3823,3,0,0,0,3,열화상카메라,반도체IC,소기업,도시지역 / 주거지역 / 제1종일반주거지역,학교용지,36,26.4,9.6,36, ,27199,그 외 기타 의료용 기기 제조업 외 3 종,"26421, 27112, 27199, 27302",10, ,1,"강원특별자치도 춘천시 한림대학길 1 (옥천동, 한림대학교)",강원특별자치도 춘천시 옥천동 1-1번지 한림대학교,421102010201021
강원특별자치도,춘천시,강원특별자치도 춘천시,주식회사 메타플레이스,개별입지, ,창업, ,임대, ,20231211,신규등록,20231211,033-252-4787,1,1,0,0,2,카본파이버 조립형 코딩교구,"카본파이버, 전기구동계",소기업,도시지역 / 주거지역 / 제2종일반주거지역,학교용지,39.6,19.8,19.8,39.6, ,33401,인형 및 장난감 제조업,33401,10, ,1,"강원특별자치도 춘천시 한림대학길 1, 창업보육센터(12203호, 12204호)(옥천동, 한림대학교)","강원특별자치도 춘천시 옥천동 1-1 한림대학교 창업보육센터(12203호, 12204호)",511102023097341
강원특별자치도,춘천시,강원특별자치도 춘천시,(주)네이처앤드피플,개별입지, ,일반, ,자가, ,20181122,등록변경,20200109,070-5121-0073,5,15,0,0,20,인쇄물, ,소기업,도시지역 / 주거지역 / 제2종일반주거지역,대,112.65,37,75.65,112.65, ,18111,경 인쇄업 외 1 종,"18111, 25112",10, ,1,"강원특별자치도 춘천시 금강로83번길 26, 2층 (조양동)",강원특별자치도 춘천시 조양동 6-86번지 2층,421102018425521
강원특별자치도,춘천시,강원특별자치도 춘천시,(합)우림건설,개별입지, ,창업,분양,자가, ,20230911,신규등록,20230911,033-256-4363,1,0,0,0,1,방수재(도료),"폴리우레아, FRP",소기업,도시지역 / 주거지역 / 제2종일반주거지역,답,0,19.07,0,19.07, ,20411,일반용 도료 및 관련제품 제조업,20411,10, ,1,강원특별자치도 춘천시 서부대성로 129-1 (운교동),강원특별자치도 춘천시 운교동 191-4,511102023060181
강원특별자치도,춘천시,강원특별자치도 춘천시,바우하우스,개별입지, ,창업,일반건축물,임대, ,20220801,신규등록,20220801, ,1,0,0,0,1,"현수막, 실사, 책제본","현수막원단, 랑데부, 스노지",소기업,도시지역 / 상업지역 / 일반상업지역,대,118.84,118.84,0,118.84, ,18111,경 인쇄업,18111,10, ,1,"강원특별자치도 춘천시 운천길 25, 미유빌딩 2층(운교동)",강원특별자치도 춘천시 운교동 173-7 미유빌딩 2층,421102022887757
강원특별자치도,춘천시,강원특별자치도 춘천시,세은바이오,개별입지, ,일반, ,임대, ,20230223,신규등록,20230223, ,1,1,0,0,2,한방환(에너지한방 등),한방분말 등,소기업,도시지역 / 상업지역 / 일반상업지역,대,35.35,35.35,0,35.35, ,10799,그 외 기타 식료품 제조업,10799,10, ,1,"강원특별자치도 춘천시 동부시장길 8, 1충, (76,81호)(운교동, 동부시장현대아파트)","강원특별자치도 춘천시 운교동 183 동부시장현대아파트 1충, (76,81호)",421102023978803
강원특별자치도,춘천시,강원특별자치도 춘천시,형제인쇄공사,개별입지, ,창업,일반건축물,임대, ,20220823,신규등록,20220823,033-254-1911,1,2,0,0,3,인쇄물,종이류,소기업,도시지역 / 주거지역 / 제2종일반주거지역,대,151.3,36.35,43.55,79.9, ,18129,기타 인쇄관련 산업,18129,10, ,1,강원특별자치도 춘천시 운천길 26-1(운교동),강원특별자치도 춘천시 운교동 175,421102022899869
강원특별자치도,춘천시,강원특별자치도 춘천시,(주)라이프투게더,개별입지, ,일반,기타,자가, ,20060210,신규등록,20060210,033-251-8171,11,29,0,0,40,화장품(팩류),식료품추출천연재,소기업,도시지역 / 주거지역 / 제2종일반주거지역,대,6590,966.62,2324.94,3291.56, ,20423,화장품 제조업,20423,10, ,1,"강원특별자치도 춘천시 약사고개길 29 (약사동, 보성건강원)",강원특별자치도 춘천시 약사동 40-2번지,421102006110757
강원특별자치도,춘천시,강원특별자치도 춘천시,(주)건우,개별입지, ,일반,일반건축물,임대, ,20150115,등록변경,20200608,033-252-1132,2,17,0,0,19,의류,의류원단,소기업,도시지역 / 주거지역 / 준주거지역,대,154,150.28,3.72,154, ,14191,셔츠 및 블라우스 제조업 외 6 종,"13229, 14111, 14112, 14191, 14192, 14199, 14300",10, ,1,강원특별자치도 춘천시 춘천로 245 (효자동),강원특별자치도 춘천시 효자동 756-4번지,421102015322774
강원특별자치도,춘천시,강원특별자치도 춘천시,(주)글로벌강원무역 제2공장,개별입지, ,일반,일반건축물,임대, ,20170111,신규등록,20170111,033-255-7552,2,1,0,0,3,미용기기,전기잡자재,소기업,도시지역 / 주거지역 / 제1종일반주거지역,대,0,30,20,50, ,28519,기타 가정용 전기기기 제조업,28519,10,강원특별자치도 춘천시 영서로 2315 (온의동),1,"강원특별자치도 춘천시 효제길 33, 지하1층 (효자동, 문구나라)",강원특별자치도 춘천시 효자동 158-8번지 문구나라 지하1층,421102017374893
강원특별자치도,춘천시,강원특별자치도 춘천시,(주)뉴엠,개별입지, ,창업,일반건축물,임대, ,20211021,신규등록,20211021,033-253-1008,1,1,0,0,2,인체모형 교보재,"PCB, 실리콘사출품",소기업,도시지역 / 주거지역 / 제2종일반주거지역,학교용지,48.75,11.2,37.55,48.75, ,33401,인형 및 장난감 제조업,33401,10, ,1,"강원특별자치도 춘천시 강원대학길 1, 보듬관 1001호(효자동, 강원대학교)",강원특별자치도 춘천시 효자동 192-1 강원대학교 보듬관 1001호,421102021711004
