시도명,시군구명,관리기관,회사명,공장구분,단지명,설립구분,입주형태,보유구분,최초승인일,최초등록일,등록구분,등록일,전화번호,남자종업원,여자종업원,외국인남자종업원,외국인여자종업원,종업원합계,생산품,원자재,공장규모,용도지역,지목,용지면적,제조시설면적,부대시설면적,건축면적,지식산업센터명,대표업종,업종명,업종코드,차수,법인주소,필지수,공장주소,공장주소_지번,공장관리번호
광주광역시,동구,광주광역시 동구,(유)디에스어패럴,개별입지, ,일반, ,임대, ,20220617,등록변경,20230405, ,1,2,0,0,3,"근무복, 체육복 외","원단, 화섬지, 단추",소기업,도시지역 / 상업지역 / 중심상업지역,대,132,99,33,132, ,14112,여자용 겉옷 제조업 외 3 종,"14111, 14112, 14191, 14192",10, ,1,"광주광역시 동구 구성로204번길 26, 3층(대인동)",광주광역시 동구 대인동 154-1 3층,291102022852063
광주광역시,동구,광주광역시 동구,(주)구일,개별입지, ,일반, ,자가, ,20050511,등록변경,20160229,062-228-9191,4,2,0,0,6,"엠프, 스피커, CCTV카메라", ,소기업,도시지역 / 상업지역 / 중심상업지역,대,126,50,76,126, ,26529,기타 음향기기 제조업 외 1 종,"26421, 26529",10, ,1,"광주광역시 동구 구성로194번길 11, 3층 (대인동, (주)구일사옥)",광주광역시 동구 대인동 121번지 (주)구일사옥 3층,291102005096927
광주광역시,동구,광주광역시 동구,(주)대성전자,개별입지, ,일반,일반건축물,임대, ,20081104,등록변경,20201130,062-225-7766,1,0,0,0,1,"CCTV카메라, 진공관 앰프",반도체,소기업,도시지역 / 상업지역 / 중심상업지역,대,20.83,15,5.83,20.83, ,26529,기타 음향기기 제조업 외 2 종,"26421, 26429, 26529",10, ,1,광주광역시 동구 독립로264번길 25 (대인동) 반도빌딩 235~236호,광주광역시 동구 대인동 27-0 반도빌딩,291102008171898
광주광역시,동구,광주광역시 동구,(주)화인전자,개별입지, ,일반, ,임대, ,20220311,등록변경,20220701,062-228-2216,4,0,0,0,4,"구내방송장치, 영상감시장치","PCB, IC, CASE, 단자함 등",소기업,도시지역 / 상업지역 / 중심상업지역,대,69.2,43.74,25.46,69.2, ,26421,방송장비 제조업 외 4 종,"26410, 26421, 26519, 26521, 26529",10, ,1,"광주광역시 동구 독립로264번길 21, 2층(대인동)",광주광역시 동구 대인동 27-27 2층,291102022797943
광주광역시,동구,광주광역시 동구,남도기업사,개별입지, ,일반,일반건축물,임대, ,20070528,신규등록,20070528,062-228-2114,0,0,0,0,0,"간행물,문집,도서", ,소기업,도시지역 / 상업지역 / 중심상업지역,대,93.36,93.36,0,93.36, ,18111,경 인쇄업 외 4 종,"18111, 18113, 18119, 18129, 58122",10, ,1,"광주광역시 동구 구성로204번길 12, 2층 (대인동)",광주광역시 동구 대인동 57번지,291102007138420
광주광역시,동구,광주광역시 동구,아이리스어패럴(주),개별입지, ,일반, ,임대, ,20161226,신규등록,20161226, ,2,1,0,0,3,"제복, 작업복 및 교복","원단, 부자재",소기업,도시지역 / 상업지역 / 중심상업지역,대,241.17,171.17,70,241.17, ,14111,남자용 겉옷 제조업 외 3 종,"14111, 14112, 14191, 14192",10, ,1,광주광역시 동구 구성로204번길 21 (대인동),광주광역시 동구 대인동 165-6번지,291102016373779
광주광역시,동구,광주광역시 동구,인트플로우 주식회사,개별입지, ,일반,일반건축물,임대, ,20230221,등록변경,20230306,062-573-4591,2,0,0,0,2,"인공지능 센서, 열화상촬영 장치, 출입통제관련센서류, 출입통제시스템","인공지능 칩셋(반도체), 열화상 센서",소기업,도시지역 / 상업지역 / 중심상업지역,대,347.09,76.22,270.87,347.09, ,26295,전자감지장치 제조업 외 2 종,"26295, 26410, 26421",10, ,1,"광주광역시 동구 구성로194번길 11, 2층(대인동)",광주광역시 동구 대인동 121 2층,291102023976159
광주광역시,동구,광주광역시 동구,주식회사 글리제,개별입지, ,일반,기타,자가, ,20180111,등록변경,20180404,062-222-3210,6,1,0,0,7,"조형물, 실물 모형","점토,석고,목재,금속재 등",소기업,도시지역 / 상업지역 / 중심상업지역,대,130.285,64.285,66,130.285, ,25999,그 외 기타 분류 안된 금속 가공 제품 제조업 외 3 종,"23329, 25999, 33910, 33932",10, ,1,광주광역시 동구 제봉로 197 (대인동),광주광역시 동구 대인동 41-7번지,291102018401799
광주광역시,동구,광주광역시 동구,주식회사 글리제,개별입지, ,일반,일반건축물,임대, ,20200211,신규등록,20200211, ,4,1,0,0,5,조형물 및실물모형, ,소기업,도시지역 / 상업지역 / 중심상업지역,대,40,40,0,40, ,25999,그 외 기타 분류 안된 금속 가공 제품 제조업 외 4 종,"16299, 23329, 25999, 33910, 33932",10, ,1,"광주광역시 동구 구성로204번길 11, 에이호 (대인동)",광주광역시 동구 대인동 45번지 에이호,291102020461282
광주광역시,동구,광주광역시 동구,주식회사 디자인현,개별입지, ,일반,일반건축물,임대, ,20191121,신규등록,20191121,006202223210,2,1,0,0,3,조형물, ,소기업,도시지역 / 상업지역 / 중심상업지역,대,133,133,0,133, ,25999,그 외 기타 분류 안된 금속 가공 제품 제조업 외 4 종,"16299, 23329, 23919, 25999, 33910",10, ,0,"광주광역시 동구 구성로204번길 11, D호 (대인동)",광주광역시 동구 대인동 45번지 D호,291102019456095
