시도명,시군구명,관리기관,회사명,공장구분,단지명,설립구분,입주형태,보유구분,최초승인일,최초등록일,등록구분,등록일,전화번호,남자종업원,여자종업원,외국인남자종업원,외국인여자종업원,종업원합계,생산품,원자재,공장규모,용도지역,지목,용지면적,제조시설면적,부대시설면적,건축면적,지식산업센터명,대표업종,업종명,업종코드,차수,법인주소,필지수,공장주소,공장주소_지번,공장관리번호
제주도,남제주군,제주특별자치도 서귀포시,(주)씨컴,개별입지, ,일반,해당없음,자가, ,19970210,등록변경,20050512,064-794-1501,2,1,0,0,3,"내동,냉장,보관",수산물,소기업, / 관리지역,대,4013,1443.03,227.75,1670.78, ,15123,수산동물 냉동품 제조,15123,8, ,1,제주도 남제주군 안덕면 화순리 638-1번지 외 2필지,제주도 남제주군 안덕면 화순리 638-1번지 외 2필지,110111035411000
제주특별자치도,제주시,제주특별자치도 제주시,(주)그린윈드,개별입지, ,일반, ,임대, ,20200717,신규등록,20200717, ,3,0,0,0,3,"풍력터빈센서, 풍향계, 풍속센서","아크릴, PLA필라멘트, ABS필라멘트",소기업,도시지역 / 상업지역 / 일반상업지역,대,0,42.1,89.98,132.08, ,26295,전자감지장치 제조업,26295,10,제주특별자치도 제주시 고마로 9 (일도이동) 김영식건축사무소,1,제주특별자치도 제주시 고마로 9 (일도이동) 김영식건축사무소 5층,제주특별자치도 제주시 일도이동 132-20 김영식건축사무소,501102020494822
제주특별자치도,제주시,제주특별자치도 제주시,(주)성우이앤씨,개별입지, ,일반,해당없음,자가, ,20070426,등록변경,20100716,064-753-3434,32,3,0,0,35,"CCTV, 방송/음향기기 외","렌즈, 카메라, 스피커, 엠프, 안테나 등",소기업,도시지역 / 상업지역 / 일반상업지역,대,95.85,210.54,155.85,366.39, ,26529,기타 음향기기 제조업 외 3 종,"26410, 26421, 26429, 26529",10, ,1,제주특별자치도 제주시 가령골길 15 (일도이동),제주특별자치도 제주시 일도이동 392-8번지,501102007136123
제주특별자치도,제주시,제주특별자치도 제주시,(주)신영정보기술,개별입지, ,일반, ,임대, ,20210611,신규등록,20210611,02-446-7464,3,0,0,0,3,"배전반, 자동제어반","변압기, 차단기, ddc컨트롤러",소기업,도시지역 / 주거지역 / 제1종일반주거지역,대,0,23.61,15.99,39.6, ,28123,배전반 및 전기 자동제어반 제조업,28123,10, ,1,"제주특별자치도 제주시 태성로5길 39, 1층 (일도이동)",제주특별자치도 제주시 일도이동 101-17 1층,501102021643179
제주특별자치도,제주시,제주특별자치도 제주시,태광통신(주),개별입지, ,일반,해당없음,자가, ,20051227,신규등록,20051227,064-756-4989,18,1,0,0,19,"CCTV,방송/음향장비","렌즈,스피커등",소기업,도시지역 / 주거지역 / 제2종일반주거지역,대,118.5,72.42,141,213.42, ,26421,방송장비 제조업 외 3 종,"26421, 26429, 26519, 26529",10, ,1,제주특별자치도 제주시 고마로16길 16 (일도이동),제주특별자치도 제주시 일도이동 379-13번지,491102005108395
제주특별자치도,제주시,제주특별자치도 제주시,(주)오앤정라이팅,개별입지, ,창업,일반건축물,임대, ,20221031,신규등록,20221031,064-782-8088,5,1,0,0,6,"LED등기구, 교통신호장치 등","알루미늄 케이스, LED기판, 전선 등",소기업,도시지역 / 상업지역 / 일반상업지역,대,0,153.49,0,153.49, ,28410,전구 및 램프 제조업 외 6 종,"25113, 25114, 28410, 28422, 28423, 28429, 28903",10, ,1,"제주특별자치도 제주시 동광로 43, 1층(이도일동)",제주특별자치도 제주시 이도일동 1245-26 1층,501102022931301
제주특별자치도,제주시,제주특별자치도 제주시,국일건재사,개별입지, ,일반,해당없음,자가,19980101,19690406,완료신고,19690406,064-753-9203,8,1,0,0,9,목재관련품,목재,소기업,도시지역 / 주거지역 / 제2종일반주거지역,대,665.4,100.1,82.6,182.7, ,16101,일반 제재업,16101,10, ,1,제주특별자치도 제주시 동광로9길 35 (이도일동),제주특별자치도 제주시 이도일동 1248-4번지,391005193211500
제주특별자치도,제주시,제주특별자치도 제주시,러브패션,개별입지, ,일반, ,임대, ,20151120,등록변경,20151201,064-757-3445,2,1,0,0,3,"유니폼, 학생복 등",원단,소기업,도시지역 / 상업지역 / 일반상업지역,대,304.1,219.33,0,219.33, ,14192,"근무복, 작업복 및 유사의복 제조업 외 2 종","14111, 14112, 14192",10, ,1,"제주특별자치도 제주시 중앙로 191, 1층 (이도일동)",제주특별자치도 제주시 이도일동 1260-7번지 1층,501102015345015
제주특별자치도,제주시,제주특별자치도 제주시,레망유니폼,개별입지, ,일반,공장임대,임대, ,20081105,등록변경,20230913,064-757-3344,2,2,0,0,4,"근무복,작업복,셔츠,체육복, 남자용정장, 여자용정장","면직물,실,단추,고시우라,접착싱",소기업,도시지역 / 상업지역 / 일반상업지역,대,108.19,76.19,32,108.19, ,14192,"근무복, 작업복 및 유사의복 제조업 외 13 종","13222, 13229, 14111, 14112, 14120, 14130, 14191, 14192, 14199, 14300, 14419, 14491, 14499, 15129",10, ,1,제주특별자치도 제주시 중앙로 178 (이도일동),제주특별자치도 제주시 이도일동 1686-9번지,501102008171949
제주특별자치도,제주시,제주특별자치도 제주시,이안유니폼,개별입지, ,일반,일반건축물,임대, ,20150213,등록변경,20150317,064-725-7222,1,2,0,0,3,업무용 유니폼, ,소기업,도시지역 / 상업지역 / 일반상업지역,대,296,60,125.781,185.781, ,14192,"근무복, 작업복 및 유사의복 제조업 외 4 종","14111, 14112, 14191, 14192, 14300",10, ,1,"제주특별자치도 제주시 중앙로 198, 해와달B/D 2층 (이도일동)",제주특별자치도 제주시 이도일동 1787-10번지 해와달B/D 2층,501102015324696
