시도명,시군구명,관리기관,회사명,공장구분,단지명,설립구분,입주형태,보유구분,최초승인일,최초등록일,등록구분,등록일,전화번호,남자종업원,여자종업원,외국인남자종업원,외국인여자종업원,종업원합계,생산품,원자재,공장규모,용도지역,지목,용지면적,제조시설면적,부대시설면적,건축면적,지식산업센터명,대표업종,업종명,업종코드,차수,법인주소,필지수,공장주소,공장주소_지번,공장관리번호
세종특별자치시, ,세종특별자치시,(주)비티진,계획입지,세종테크밸리도시첨단산업단지,도시첨단산업단지,분양,자가,20191219,20220103,완료신고,20220103,042-931-6665,10,6,0,0,16,화장품,진세노사이드,소기업,도시지역 / 주거지역 / 준주거지역,답,3762,5515.57,1278.3,6793.87, ,20423,화장품 제조업,20423,10, ,1,"세종특별자치시 집현중앙4로 28, 산업4-3-2(집현동, (주)비티진 세종테크노벨리)",세종특별자치시 집현동 0 (주)비티진 세종테크노벨리 산업4-3-2,3.61102E+14
세종특별자치시, ,세종특별자치시,(주)아이에스엠,개별입지, ,일반,일반건축물,임대, ,20231205,신규등록,20231205,044-863-9852,6,3,0,0,9,"광학기계기구, 의료기기","알루미늄, 플라스틱",소기업,도시지역 / 상업지역 / 중심상업지역,대,0,67.92,47.1,115.02, ,27199,그 외 기타 의료용 기기 제조업,27199,10, ,1,"세종특별자치시 나성남로 7-16, 403호(나성동, 신영드림타워)",세종특별자치시 나성동 786 신영드림타워 403호,3.61102E+14
세종특별자치시, ,세종특별자치시,(주)한컴헬스케어,개별입지, ,일반, ,임대, ,20211013,신규등록,20211013, ,7,2,0,0,9,체외진단 의료기기,"재조합단백질, 클론항체 등",소기업,도시지역 / 상업지역 / 중심상업지역,대,0,207.62,272.99,480.61, ,21300,의료용품 및 기타 의약 관련제품 제조업 외 4 종,"21230, 21300, 26600, 27191, 27199",10, ,1,"세종특별자치시 나성북로 15, 9층(나성동, MVG)",세종특별자치시 나성동 799 MVG 9층,3.61102E+14
세종특별자치시, ,세종특별자치시,(주)한결,개별입지, ,일반, ,임대, ,20190411,등록변경,20200914,070-7799-9603,5,0,0,0,5,"CCTV, 전광판, 다중화장치, 디지털 영상정보안내시스템",.,소기업,도시지역 / 상업지역 / 중심상업지역,대,0,97.6,0,97.6, ,26299,그 외 기타 전자부품 제조업 외 5 종,"26299, 26310, 26410, 26421, 26429, 28423",10,세종특별자치시 도움8로 91 (어진동),1,세종특별자치시 도움8로 91 (어진동) 세종마치 404호,세종특별자치시 어진동 610-0 세종마치,3.61102E+14
세종특별자치시, ,세종특별자치시,경성문화사,개별입지, ,일반, ,자가, ,20131021,신규등록,20131021,044-863-7636,3,1,0,0,4,"책자, 보고서", ,소기업,도시지역 / 상업지역 / 중심상업지역,대,105.86,105.86,0,105.86, ,18119,기타 인쇄업 외 1 종,"18113, 18119",10, ,1,세종특별자치시 어진동 3-113번지 3층 A-310호,세종특별자치시 어진동 3-113번지 3층 A-310호,3.61102E+14
세종특별자치시, ,세종특별자치시,서울농산,개별입지, ,일반,해당없음,자가,19990614,19980101,완료신고,20020514,041-865-5784,3,0,0,0,3,무우만두속, ,소기업, / 관리지역,공장용지,785,80,90,170, ,10309,기타 과실ㆍ채소 가공 및 저장 처리업,10309,10, ,1,세종특별자치시 고운동 254번지,세종특별자치시 고운동 254번지,4.8041E+14
세종특별자치시, ,세종특별자치시,주식회사 삼일기획,개별입지, ,일반, ,임대, ,20130424,등록변경,20190723,044-866-3011,14,5,0,0,19,인쇄물,종이,소기업,도시지역 / 주거지역 / 제1종일반주거지역,전,444,297.33,347.36,644.69, ,18111,경 인쇄업 외 1 종,"18111, 18113",10, ,1,"세종특별자치시 보듬8로 45, 삼일기획빌딩 (도담동)",세종특별자치시 도담동 260-169번지 삼일기획빌딩,3.61102E+14
세종특별자치시, ,세종특별자치시,(주)누림,계획입지,세종테크밸리도시첨단산업단지,도시첨단산업단지,분양,자가,20210709,20220321,등록변경,20230127, ,5,2,0,0,7,"자동계측기기, 안전관리자동계측 시스템, 모니터링 시스템외","칩, 센서, 알루미늄, 스텐레스 등",소기업,도시지역 / 주거지역 / 준주거지역,"답, 답, 답, 답, 답, 답, 답",135.769,136.493,121.299,257.792,세종대명벨리온,28909,그 외 기타 전기장비 제조업 외 3 종,"28909, 29299, 62090, 70121",10, ,7,"세종특별자치시 집현중앙7로 6, B동 10층 1008호(집현동, 지식산업센터) 외 6필지",세종특별자치시 집현동 726 지식산업센터 B동 10층 1008호,3.61102E+14
세종특별자치시, ,세종특별자치시,(주)대경이앤씨,계획입지,세종테크밸리도시첨단산업단지,도시첨단산업단지,분양,자가,20181201,20220121,등록변경,20220304,042-525-3568,26,4,0,0,30,"보행신호 음성안내 보조장치, 보행자 자동인식 신호기, 전광판, 교통신호 제어기","철판, pvp,회로기판,전선,led",소기업,도시지역 / 주거지역 / 준주거지역,답,1894,550.18,2297.85,2848.03, ,28903,교통 신호장치 제조업 외 5 종,"26310, 26421, 26519, 28422, 28423, 28903",10, ,1,"세종특별자치시 집현동로 13, 산업 4-8-3-2(집현동)",세종특별자치시 집현동 0 산업 4-8-3-2,3.61102E+14
세종특별자치시, ,세종특별자치시,(주)대영모빌리티,계획입지,세종테크밸리도시첨단산업단지,도시첨단산업단지,분양,자가,20210723,20220107,등록변경,20230427,02-415-6488,15,3,0,0,18,스마트주차관제시스템,"무인정산기, 차량번호인식기, 차량차단기, 주차S/W개발 등등",소기업,도시지역 / 주거지역 / 준주거지역,"답, 답, 답, 답, 답, 답, 답",159.996,81.9,235.151,317.051,세종대명벨리온,28903,교통 신호장치 제조업 외 2 종,"27214, 28119, 28903",10, ,7,"세종특별자치시 집현중앙7로 6, B동 8층 817호(집현동, 지식산업센터) 외 6필지",세종특별자치시 집현동 726 지식산업센터 B동 8층 817호,3.61102E+14
