시도명,시군구명,관리기관,회사명,공장구분,단지명,설립구분,입주형태,보유구분,최초승인일,최초등록일,등록구분,등록일,전화번호,남자종업원,여자종업원,외국인남자종업원,외국인여자종업원,종업원합계,생산품,원자재,공장규모,용도지역,지목,용지면적,제조시설면적,부대시설면적,건축면적,지식산업센터명,대표업종,업종명,업종코드,차수,법인주소,필지수,공장주소,공장주소_지번,공장관리번호
울산광역시,중구,울산광역시 중구,금강자바라,개별입지, ,일반,양수도,자가, ,20151022,신규등록,20151022,052-294-1567,5,1,0,0,6,"현관문,대문,자바라", ,소기업,도시지역 / 상업지역 / 일반상업지역,대,504,166.21,41.44,207.65, ,25111,"금속 문, 창, 셔터 및 관련제품 제조업",25111,10, ,1,울산광역시 중구 구교로 95 (학성동),울산광역시 중구 학성동 341-12번지,311102015342865
울산광역시,중구,울산광역시 중구,대성G.C,개별입지, ,일반,일반건축물,임대, ,20200507,신규등록,20200507,052-294-0070,3,1,0,0,4,"옥외광고물, 현수막", ,소기업,도시지역 / 주거지역 / 제2종일반주거지역,대,125.5,112.5,13,125.5, ,28423,전시 및 광고용 조명장치 제조업 외 2 종,"25994, 28423, 33910",10, ,0,울산광역시 중구 화합로 327 (학성동),울산광역시 중구 학성동 12번지,311102020470473
울산광역시,중구,울산광역시 중구,다원주방산업,개별입지, ,일반,해당없음,임대, ,20020924,등록변경,19990104,052-292-1128,6,1,0,0,7,주방세정대,철재,소기업, / 도시지역 / 주거지역,대,313,136.5,50,186.5, ,25992,수동식 식품 가공기기 및 금속 주방용기 제조업,25992,10, ,1,울산광역시 중구 구교로 50 (학산동),울산광역시 중구 학산동 2-5번지,311102003052368
울산광역시,중구,울산광역시 중구,주식회사 에프아이티,개별입지, ,일반,일반건축물,임대, ,20240105,신규등록,20240105,052-295-1575,7,1,0,0,8,차량차단기,"차단기케이스, 메카, 차단기바, 트랜스, 차단기컨트롤러, LED Strip, 실리콘패킹",소기업,도시지역 / 주거지역 / 준주거지역,대,59.7,15.9,43.8,59.7, ,28903,교통 신호장치 제조업,28903,10, ,1,"울산광역시 중구 옥교8길 31, 1층 에프아이티 (학산동)",울산광역시 중구 학산동 16-1 1층 에프아이티,311102024098986
울산광역시,중구,울산광역시 중구,(주)성안친환경디자인,개별입지, ,일반,일반건축물,임대, ,20191024,등록변경,20200212, ,10,5,0,0,15,조형물 , ,소기업,도시지역 / 주거지역 / 제2종일반주거지역,대,129.37,71,58.37,129.37, ,25999,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,"25999, 33932",10, ,1,"울산광역시 중구 화합로 502, 2층 (복산동)",울산광역시 중구 복산동 185-1번지 2층,311102019454366
울산광역시,중구,울산광역시 중구,(주)엔티에스솔루션,개별입지, ,일반,분양,자가, ,20220214,신규등록,20220214,052-245-9551,4,1,0,0,5,"KVMoIP Encoder/Decoder, PCB 제조","메인보드, 메모리, 케이스, HDD, SSD, 그래픽카드,  PCB 부품",소기업,도시지역 / 주거지역 / 준주거지역,"대, 대, 대, 대",100.8,50.4,50.4,100.8,울산광역시 중구 복산동 703번지,26310,컴퓨터 제조업,26310,10, ,4,"울산광역시 중구 종가로 406-21, 1025호(복산동) 외 3필지",울산광역시 중구 복산동 703 1025호,000002022785011
울산광역시,중구,울산광역시 중구,(주)원우전자,개별입지, ,일반,일반건축물,임대, ,20211029,신규등록,20211029,052-247-1471,1,1,0,0,2,"스피커, 앰프, 오디오믹스","메인PCB, 스피커, 코일, 저항",소기업,도시지역 / 상업지역 / 일반상업지역,대,148.5,65,83.5,148.5, ,26421,방송장비 제조업 외 1 종,"26421, 26529",10, ,1,"울산광역시 중구 서원길 4, 201호(복산동)",울산광역시 중구 복산동 36-34 201호,311102021713959
울산광역시,중구,울산광역시 중구,(주)파노텍,개별입지, ,일반,공장임대,임대, ,20221201,신규등록,20221201,070-8270-5500,3,0,0,0,3, 자동제어반," IC칩, 배전반 회로",소기업,도시지역 / 주거지역 / 준주거지역,대,47.25,25.2,22.05,47.25,울산광역시 중구 복산동 703번지,28123,배전반 및 전기 자동제어반 제조업,28123,10, ,1,"울산광역시 중구 종가로 406-21, C동 1143호(복산동)",울산광역시 중구 복산동 703 C동 1143호,311102022943263
울산광역시,중구,울산광역시 중구,세종조명주식회사,개별입지, ,일반, ,임대, ,20230314,등록변경,20230620, ,0,0,0,0,0,"가로등, 보안등, 자동점멸기, 분전반","철판, 금속, 플라스틱",소기업,도시지역 / 주거지역 / 준주거지역,대,25.2,16.53,8.67,25.2,울산광역시 중구 복산동 703번지,28422,일반용 전기 조명장치 제조업 외 1 종,"28123, 28422",10, ,1,"울산광역시 중구 종가로 406-21, C동 6층 631호(복산동)",울산광역시 중구 복산동 703 C동 6층 631호,311102023985579
울산광역시,중구,울산광역시 중구,주식회사 아이엔,개별입지, ,일반, ,임대, ,20220721,신규등록,20220721,052-243-9663,4,0,0,0,4,원격단말장치,"자체 생산 모듈, 전원공급장치, 전기선 등",소기업,도시지역 / 주거지역 / 준주거지역,대,25.2,25.2,0,25.2,울산광역시 중구 복산동 703번지,28123,배전반 및 전기 자동제어반 제조업 외 1 종,"26429, 28123",10, ,1,"울산광역시 중구 종가로 406-21, 913호(복산동)",울산광역시 중구 복산동 703 913호,311102022881916
